iter	Passed	Remaining
0	1	162
1	3	155
2	4	148
3	5	139
4	7	151
5	9	154
6	11	149
7	12	148
8	14	146
9	16	144
10	17	144
11	19	142
12	21	141
13	23	141
14	24	140
15	26	138
16	27	136
17	29	133
18	30	131
19	32	129
20	33	127
21	35	125
22	37	124
23	38	122
24	40	120
25	41	118
26	43	117
27	45	116
28	46	114
29	48	112
30	49	110
31	51	109
32	53	107
33	54	105
34	56	104
35	57	102
36	59	100
37	60	99
38	62	97
39	63	95
40	65	93
41	65	90
42	67	89
43	69	88
44	70	86
45	72	84
46	73	83
47	75	81
48	76	79
49	78	78
50	79	76
51	80	74
52	82	73
53	84	71
54	85	69
55	87	68
56	89	67
57	90	65
58	92	64
59	94	62
60	95	61
61	97	59
62	98	58
63	100	56
64	102	54
65	103	53
66	105	51
67	106	50
68	108	48
69	109	47
70	111	45
71	113	43
72	114	42
73	116	40
74	117	39
75	119	37
76	120	36
77	122	34
78	123	32
79	125	31
80	127	29
81	128	28
82	130	26
83	131	25
84	132	23
85	134	21
86	136	20
87	137	18
88	139	17
89	142	15
90	143	14
91	145	12
92	146	11
93	148	9
94	150	7
95	152	6
96	153	4
97	155	3
98	157	1
99	158	0
