iter	Passed	Remaining
0	123	123734
1	125	62744
2	128	42623
3	132	32875
4	133	26656
5	135	22468
6	137	19475
7	138	17214
8	140	15470
9	142	14080
10	144	12962
11	147	12106
12	148	11292
13	152	10739
14	154	10162
15	156	9618
16	158	9143
17	160	8740
18	162	8397
19	164	8075
20	168	7855
21	170	7575
22	173	7379
23	176	7191
24	179	7002
25	181	6805
26	183	6625
27	186	6466
28	188	6302
29	189	6139
30	193	6056
31	195	5920
32	197	5787
33	199	5679
34	201	5569
35	203	5461
36	208	5417
37	210	5333
38	212	5244
39	214	5146
40	216	5066
41	218	4980
42	221	4938
43	223	4863
44	225	4783
45	227	4709
46	228	4641
47	230	4574
48	232	4510
49	234	4449
50	237	4422
51	239	4371
52	241	4313
53	242	4256
54	244	4208
55	246	4156
56	248	4109
57	250	4063
58	253	4046
59	255	4010
60	257	3967
61	259	3928
62	262	3898
63	264	3869
64	268	3859
65	269	3820
66	271	3785
67	273	3750
68	275	3717
69	278	3693
70	279	3658
71	282	3646
72	285	3620
73	287	3592
74	288	3564
75	291	3542
76	294	3525
77	297	3521
78	300	3498
79	302	3476
80	304	3455
81	306	3434
82	308	3403
83	310	3387
84	312	3368
85	315	3352
86	317	3333
87	319	3314
88	321	3293
89	325	3293
90	327	3272
91	329	3250
92	331	3230
93	332	3209
94	334	3188
95	336	3168
96	339	3161
97	341	3145
98	343	3124
99	344	3104
100	346	3088
101	349	3075
102	351	3063
103	354	3057
104	357	3047
105	359	3031
106	361	3013
107	362	2995
108	364	2977
109	366	2962
110	367	2945
111	370	2934
112	372	2920
113	374	2910
114	376	2901
115	379	2893
116	381	2876
117	383	2869
118	385	2857
119	387	2842
120	389	2829
121	390	2813
122	392	2801
123	394	2786
124	396	2776
125	400	2775
126	401	2761
127	403	2747
128	405	2737
129	407	2728
130	409	2715
131	411	2703
132	412	2690
133	415	2683
134	416	2671
135	418	2657
136	419	2644
137	421	2632
138	423	2621
139	424	2609
140	426	2596
141	427	2581
142	430	2577
143	431	2566
144	433	2554
145	434	2543
146	436	2534
147	438	2523
148	439	2512
149	441	2500
150	442	2489
151	445	2482
152	446	2472
153	448	2462
154	449	2451
155	451	2440
156	452	2431
157	454	2420
158	456	2412
159	458	2409
160	460	2398
161	461	2388
162	463	2380
163	464	2370
164	466	2360
165	467	2350
166	469	2342
167	470	2332
168	474	2331
169	476	2328
170	479	2324
171	481	2316
172	482	2307
173	484	2298
174	485	2289
175	488	2286
176	490	2279
177	491	2271
178	493	2264
179	495	2256
180	497	2249
181	498	2242
182	503	2246
183	506	2244
184	507	2235
185	509	2227
186	510	2220
187	512	2212
188	513	2205
189	515	2196
190	516	2188
191	520	2188
192	521	2181
193	523	2174
194	524	2166
195	526	2159
196	528	2152
197	529	2145
198	531	2139
199	533	2132
200	535	2128
201	537	2122
202	538	2114
203	540	2107
204	541	2099
205	543	2093
206	544	2086
207	546	2079
208	547	2072
209	550	2069
210	551	2063
211	553	2056
212	554	2049
213	556	2042
214	558	2037
215	559	2031
216	561	2024
217	562	2018
218	565	2018
219	567	2011
220	568	2004
221	570	1998
222	572	1993
223	573	1987
224	575	1981
225	577	1976
226	579	1974
227	581	1970
228	583	1965
229	586	1962
230	588	1959
231	590	1954
232	592	1951
233	595	1949
234	597	1945
235	599	1940
236	600	1934
237	602	1928
238	603	1921
239	605	1916
240	606	1910
241	609	1908
242	611	1903
243	612	1897
244	614	1892
245	615	1886
246	617	1881
247	618	1876
248	620	1871
249	621	1865
250	624	1862
251	625	1857
252	627	1851
253	629	1847
254	630	1842
255	632	1837
256	633	1831
257	635	1827
258	638	1826
259	639	1821
260	641	1816
261	643	1811
262	644	1806
263	646	1802
264	648	1798
265	650	1795
266	654	1797
267	656	1792
268	657	1787
269	659	1782
270	660	1777
271	662	1774
272	664	1770
273	669	1774
274	672	1772
275	674	1768
276	676	1765
277	678	1761
278	679	1756
279	681	1752
280	684	1750
281	686	1746
282	687	1741
283	689	1737
284	690	1733
285	692	1728
286	693	1723
287	695	1718
288	698	1718
289	700	1714
290	701	1709
291	703	1706
292	705	1702
293	707	1698
294	708	1693
295	710	1689
296	711	1684
297	713	1681
298	715	1677
299	717	1673
300	719	1669
301	720	1666
302	722	1661
303	723	1657
304	725	1652
305	727	1650
306	729	1646
307	730	1642
308	732	1637
309	734	1634
310	735	1630
311	737	1625
312	738	1621
313	740	1617
314	742	1614
315	744	1611
316	746	1607
317	747	1604
318	749	1599
319	751	1596
320	752	1592
321	754	1588
322	755	1583
323	758	1582
324	760	1579
325	762	1576
326	764	1573
327	766	1570
328	768	1566
329	770	1564
330	774	1564
331	775	1560
332	777	1557
333	778	1553
334	780	1549
335	782	1545
336	784	1543
337	786	1539
338	789	1538
339	791	1535
340	792	1531
341	794	1528
342	796	1524
343	797	1521
344	800	1519
345	803	1518
346	804	1514
347	806	1510
348	808	1507
349	809	1503
350	811	1499
351	813	1496
352	814	1493
353	815	1488
354	818	1487
355	820	1483
356	821	1480
357	823	1476
358	824	1472
359	826	1469
360	828	1465
361	829	1462
362	831	1458
363	834	1457
364	835	1453
365	837	1450
366	839	1447
367	841	1444
368	842	1441
369	844	1437
370	845	1434
371	849	1433
372	851	1430
373	853	1428
374	854	1424
375	856	1421
376	857	1417
377	859	1414
378	860	1410
379	864	1409
380	866	1406
381	868	1405
382	870	1402
383	872	1399
384	873	1395
385	875	1392
386	878	1390
387	880	1389
388	882	1385
389	884	1383
390	886	1380
391	888	1378
392	890	1375
393	893	1374
394	895	1371
395	896	1367
396	898	1364
